west_mines,-1550,500,-530,960,1
fungal_cavern,-3000,1540,-2060,2560,1
magical_temple_west,-4580,3600,-2580,4060,2
east_snowy_climb,2580,3090,4060,3550,1.5
lukki_cave,-5100,7700,-3100,9170,2
lukki_cave_orb,-4580,9700,-3600,10200,2
west_temple,-4580,10770,-4130,12250,1.5
hell,-3030,14850,2500,17200,3
hell_east,3600,15380,4060,16350,3
hell_island_east,2300,19500,3250,19680,3
hell_island_west,-2400,19000,-12000,20100,3
frozen_vault,-11750,530,-8220,3000,3
winter_caves_upper,-7650,550,-6180,1500,4
winter_caves_mid,-7650,1600,-5670,4550,4
winter_caves_mid_two,-9700,5650,-6180,7620,4
winter_caves_bottom,-10200,8720,-5680,10650,3
winter_caves_bottom_two,-10200,12800,-7200,14770,3
forgotten_cave,-11750,12800,-10730,13230,1.5
lake_island,-14800,20,-13350,190,2
lake_cloudscape,-15840,-6630,-10300,-4200,6
barren_temple,-5800,-5350,-5070,-5200,1.5
temple_of_air,-2500,-5500,-1150,-4580,1.5
omnious_temple,2234,-5050,3250,-4900,1.5
rock_temple,6850,-5050,7870,-4850,1.5
desert_cloudscape,9250,-5600,11200,-4150,6
wandmart_upper,12300,1550,15300,2050,2
wandmart,12300,2100,15800,5080,2
sandcave,12300,5100,15800,7650,5
powerplant,12300,8200,15800,10700,4
powerplant_mechakolmi,12300,10800,15300,11700,1.5
fungal_powerplant_mix,12300,11800,13800,13250,4
meat_realm_big_upper,14350,12850,15800,13800,4
meat_realm_big,13800,13850,15800,16300,4
wizards_den,7700,11300,12250,12750,4
magical_temple,6170,10750,7650,12750,4
magical_temple_entrance,3100,11300,6100,11700,3
magical_temple_small,9250,12820,11750,13250,4
wizards_den_big,9250,11300,11750,15850,4
wizards_den_orb,9750,15860,11230,16350,2
master_of_masters,11760,14850,12770,15300,1.5
the_tower,9240,4100,10710,9200,2
meat_realm_small_upper,6650,5650,7650,7150,3
meat_realm_small,6150,7160,7650,9150,2
pyramid_sandcave,8225,510,11750,3000,3
pyramid_one,8700,20,11250,490,2
pyramid_two,9250,-500,10750,0,2
pyramid_three,9750,1000,10250,500,2
secret_snowcave,3600,4100,4100,4500,3
vault_fungal,2070,8725,2550,9200,3
work,-4000,-24700,2450,-12000,8
work_bottom,-4000,-9700,3500,-7000,6
snowy_biome_left,-2550,3100,-1150,4500,5
snowy_biome_right,1150,3100,2500,4500,5
hiisibase_left,-2000,5100,-620,6000,4
hiisibase_right,750,5100,1500,6000,4
jungle_left,-2500,6700,-1300,8100,4
jungle_right,780,6700,2000,8100,4
vault_left,-3000,8750,-500,10000,3
temple_of_art,-3000,10800,2500,12700,3




